id,region,start,end,strand
297,chr4,117148936,117151490,+
298,chrX,145817507,145821293,+
299,chr4,101046435,101049139,+
300,chr8,15429553,15430699,+
301,chr1,175833211,175835930,+
302,chr13,46589312,46590617,+
303,chr15,68580951,68582467,+
304,chr9,109303824,109307835,+
305,chr5,113289173,113292047,+
306,chrX,138971244,138973312,+
307,chr8,128857146,128859036,+
308,chr9,21319557,21320652,+
309,chr6,113269185,113270399,+
310,chr19,43478422,43481553,+
311,chr6,108409564,108412463,+
312,chr9,97254586,97255623,+
313,chr1,112204368,112207870,+
314,chr7,144370565,144373574,+
315,chr6,12333344,12335661,+
316,chr18,42648804,42653200,+
317,chr10,51685508,51688059,+
318,chr13,3229417,3231184,+
319,chr1,45030172,45032878,+
320,chr12,8429388,8431185,+
321,chr17,50352144,50353260,+
322,chr9,31852426,31854707,+
323,chr2,160772451,160773295,+
324,chr15,84664155,84664650,+
325,chr15,20123552,20126890,+
326,chr12,53062920,53065694,+
327,chr1,27685663,27687498,+
328,chr11,65871387,65875208,+
329,chr3,100785315,100788406,+
330,chr8,104110999,104113999,+
331,chr4,118765166,118769349,+
332,chr7,122250858,122253984,+
333,chr6,15059441,15063053,+
334,chr13,22935017,22937108,+
335,chr10,10558617,10561219,+
336,chr2,129379882,129382103,+
337,chr3,14116691,14119064,+
338,chr19,52182666,52185241,+
339,chr11,64770937,64775182,+
340,chr3,77135257,77136555,+
341,chr2,157134998,157136332,+
342,chrX,40180711,40184537,+
343,chr4,136287925,136291099,+
344,chr19,38110898,38113159,+
345,chr4,89576777,89578651,+
346,chr15,12661437,12664984,+
347,chr11,48014402,48017391,+
348,chr7,64917542,64921055,+
349,chr10,75619777,75620986,+
350,chr9,93839142,93842102,+
351,chr7,97012496,97013985,+
352,chr4,47362293,47363192,+
353,chr15,63382704,63386102,+
354,chr2,71427871,71430840,+
355,chr11,83122171,83123805,+
356,chr4,148353673,148356475,+
357,chr17,47762611,47764652,+
358,chr12,42925804,42929311,+
359,chr12,27416502,27419015,+
360,chr7,15058501,15061030,+
361,chr8,73405548,73409637,+
362,chrY,68981737,68984172,+
363,chr3,156097813,156099868,+
364,chr15,24105482,24106269,+
365,chr7,25170208,25171811,+
366,chr7,110292429,110295291,+
367,chr2,5649193,5650187,+
368,chrY,35784002,35786990,+
369,chr7,138289178,138292268,+
370,chr17,27639910,27641200,+
371,chr3,60232531,60234422,+
372,chr1,120907227,120910475,+
373,chrX,128013635,128016528,+
374,chr13,115212512,115215100,+
375,chr10,98266357,98270104,+
376,chr16,6719215,6722032,+
377,chr17,8818040,8821284,+
378,chr7,48172534,48175797,+
379,chr1,180262042,180263613,+
380,chr13,80569008,80571372,+
381,chr6,99030596,99034290,+
382,chr14,59483241,59485445,+
383,chr16,72948403,72949255,+
384,chr16,77684076,77686624,+
385,chrY,2442975,2446482,+
386,chr19,11320465,11323114,+
387,chr5,132251620,132254123,+
388,chr6,120528236,120531140,+
389,chr17,28160989,28162843,+
390,chr5,18553587,18555408,+
391,chrX,164205227,164208300,+
392,chr6,122176610,122177151,+
393,chr1,53952171,53952960,+
394,chr1,114227768,114230270,+
395,chr17,30516462,30517669,+
396,chr11,34493820,34495680,+
397,chr7,53920008,53921966,+
398,chrX,21435197,21438124,+
399,chr4,36924092,36925844,+
400,chr2,148566312,148567211,+
401,chr14,117880898,117883911,+
402,chr14,27763684,27766507,+
403,chr7,22045887,22048180,+
404,chr2,30157881,30160172,+
405,chr16,15811586,15813584,+
406,chr7,145107036,145110784,+
407,chr5,107998670,108001629,+
408,chr7,104768303,104769492,+
409,chr5,66554098,66555901,+
410,chr6,13049971,13052795,+
411,chr15,103101237,103105023,+
412,chr3,114884843,114886511,+
413,chrX,120126542,120127656,+
414,chr13,66403692,66406036,+
415,chr1,11965781,11966930,+
416,chr15,98024764,98025302,+
417,chr16,58145711,58147988,+
418,chr13,116893005,116895003,+
419,chr2,159901760,159902979,+
420,chr12,65628674,65631749,+
421,chr6,116334792,116337610,+
422,chr4,18042076,18043517,+
423,chr1,71678162,71679958,+
424,chr3,102669660,102671171,+
425,chr13,56535588,56536895,+
426,chr7,71933041,71935178,+
427,chr3,92450700,92453346,+
428,chr13,51788824,51791276,+
429,chr5,98786070,98789013,+
430,chr6,107829685,107831863,+
431,chr2,38824415,38825341,+
432,chr15,27660443,27661296,+
433,chrY,5401644,5404232,+
434,chr6,51564607,51567116,+
435,chr9,48084162,48087223,+
436,chr13,38646814,38647995,+
437,chr6,62977568,62980970,+
438,chrY,41343982,41348689,+
439,chr8,89035607,89038432,+
440,chr19,4348890,4351923,+
441,chr7,123710289,123711837,+
442,chr2,126231369,126232976,+
443,chr1,4482546,4486073,+
444,chrY,9046011,9048705,+
445,chr17,67618150,67620207,+
446,chr8,68870524,68874499,+
447,chr11,32274445,32275206,+
448,chr18,70905947,70907812,+
449,chr15,9247100,9249140,+
450,chr18,42466548,42469276,+
451,chrY,32258331,32261049,+
452,chr18,73761636,73762677,+
453,chr17,50720878,50721880,+
454,chr15,19954951,19957970,+
455,chr7,18656953,18657713,+
456,chr3,100995326,100998035,+
457,chrY,78745610,78747374,+
458,chr17,83638850,83641506,+
459,chr14,43371878,43373768,+
460,chr12,8568607,8572077,+
461,chr2,9538232,9540876,+
462,chrY,61012261,61014267,+
463,chr5,118046669,118049294,+
464,chr18,89073585,89076337,+
465,chrX,143512934,143514078,+
466,chr12,113252611,113253640,+
467,chr16,53474749,53475723,+
468,chr2,141608187,141609609,+
469,chr1,16913735,16916493,+
470,chr3,59235481,59237461,+
471,chr8,80132778,80133730,+
472,chr11,106143956,106146982,+
473,chr15,100463270,100466257,+
474,chr2,9863811,9866311,+
475,chr3,103575595,103578670,+
476,chrX,159923158,159924187,+
477,chr4,150997608,151000445,+
478,chr7,11188009,11189982,+
479,chr9,24590558,24592501,+
480,chr8,117372489,117374406,+
481,chr10,26152941,26154294,+
482,chr11,61586342,61590472,+
483,chr14,79224324,79226688,+
